class,semantic_density,accuracy
apple,0.984804,0.84
aquarium_fish,0.80412376,0.93
baby,1.7438599,0.89
bear,1.4579936,0.83
beaver,2.0039039,0.37
bed,1.0791032,0.87
bee,1.0161152,0.84
beetle,1.6514171,0.73
bicycle,1.5266262,0.93
bottle,1.7448869,0.86
bowl,1.8433183,0.5
boy,2.8435233,0.69
bridge,3.0160291,0.61
bus,1.213714,0.72
butterfly,1.4747139,0.87
camel,0.95751137,0.87
can,1.527367,0.82
castle,3.1453607,0.48
caterpillar,1.9011436,0.62
cattle,1.074401,0.87
chair,0.55088335,1.0
chimpanzee,0.35315818,0.96
clock,1.8004237,0.86
cloud,2.876551,0.45
cockroach,0.90448403,0.85
couch,1.3999754,0.64
crab,1.1987681,0.75
crocodile,2.528914,0.29
cup,2.021268,0.69
dinosaur,1.7907301,0.68
dolphin,1.471807,0.65
elephant,1.0287511,0.93
flatfish,2.247975,0.51
forest,2.6842332,0.19
fox,1.1987998,0.88
girl,2.9477932,0.61
hamster,1.2387218,0.84
house,2.3507588,0.81
kangaroo,1.3139243,0.79
keyboard,2.1160817,0.79
lamp,1.988052,0.73
lawn_mower,0.40294442,0.93
leopard,2.295164,0.59
lion,1.5036219,0.86
lizard,1.6545917,0.8
lobster,2.5111103,0.35
man,3.396915,0.55
maple_tree,1.1136451,0.85
motorcycle,0.867111,0.97
mountain,2.6575043,0.8
mouse,1.6162304,0.29
mushroom,1.0976486,0.8
oak_tree,1.3241199,0.33
orange,0.7920501,0.93
orchid,1.1723199,0.88
otter,1.8237433,0.67
palm_tree,0.79962575,0.91
pear,1.0989425,0.79
pickup_truck,0.26245126,0.99
pine_tree,1.3985379,0.72
plain,2.7561371,0.65
plate,2.1398299,0.61
poppy,1.4752944,0.88
porcupine,1.9033332,0.51
possum,1.6822187,0.47
rabbit,1.2830324,0.88
raccoon,1.3755832,0.76
ray,1.9462979,0.3
road,2.808204,0.46
rocket,1.3147372,0.82
rose,2.1498487,0.83
sea,3.2679603,0.47
seal,2.1745756,0.41
shark,1.522437,0.59
shrew,1.8504466,0.66
skunk,1.8893906,0.66
skyscraper,2.9637902,0.65
snail,1.3613988,0.79
snake,1.6297596,0.84
spider,1.51136,0.79
squirrel,1.6517546,0.73
streetcar,0.82127154,0.82
sunflower,0.9067405,0.94
sweet_pepper,0.47284517,0.94
table,1.6336358,0.87
tank,1.7590398,0.85
telephone,1.4601191,0.86
television,2.0071614,0.75
tiger,1.7182175,0.71
tractor,1.8630518,0.7
train,1.1955109,0.87
trout,1.3647693,0.57
tulip,1.621405,0.76
turtle,1.7903043,0.69
wardrobe,2.005022,0.69
whale,1.5261052,0.68
willow_tree,1.4668088,0.59
wolf,1.575215,0.87
woman,3.2171402,0.57
worm,2.5665424,0.5
