kelvin,R,G,B
2000,255,164,5
2100,255,171,10
2200,255,178,16
2300,255,184,22
2400,255,190,29
2500,255,195,35
2600,255,199,42
2700,255,204,48
2800,255,207,55
2900,255,211,62
3000,255,214,69
3100,255,217,75
3200,255,220,82
3300,255,222,88
3400,255,225,94
3500,255,227,101
3600,255,229,107
3700,255,231,113
3800,255,232,120
3900,255,234,126
4000,255,235,131
4100,255,237,137
4200,255,238,144
4300,255,239,149
4400,255,240,155
4500,255,241,161
4600,255,242,166
4700,255,243,171
4800,255,244,177
4900,255,245,182
5000,255,246,187
5100,255,247,192
5200,255,247,198
5300,255,248,202
5400,255,248,207
5500,255,249,211
5600,255,250,215
5700,255,250,221
5800,255,251,226
5900,255,251,230
6000,255,251,233
6100,255,252,238
6200,255,252,243
6300,255,253,246
6400,255,253,250
6500,254,253,254
