object,accuracy,spectral_entropy,semantic_density
obj17,0.9969584941864014,0.40279874,0.02756933243169139
obj42,0.5643893480300903,0.45551014,1.0700034043855138
obj9,0.285602331161499,0.6831349,1.9612549013561673
obj26,0.2862834930419922,0.640576,1.3534066027940652
obj88,0.5930535793304443,0.4546725,1.4159513504968748
obj90,0.6711620688438416,0.5821192,0.9756807128174437
obj74,0.9947478771209717,0.2246257,0.05615011778556638
obj96,0.9531497955322266,0.5737422,0.13449797929368085
obj21,0.8957102298736572,0.45360684,0.5041793742372344
obj22,0.7386642098426819,0.57697093,1.0615330793791347
obj28,0.9900846481323242,0.3999987,0.08632144885551599
obj51,0.41003912687301636,0.4436672,0.9911026904980341
obj33,0.45510727167129517,0.3415971,0.9361933084825674
obj78,0.8327960968017578,0.45101798,0.6685495674610138
obj75,0.8462902307510376,0.32145396,0.381923642837339
obj67,0.4131644070148468,0.7664503,1.4747066883654851
obj66,0.7331502437591553,0.23511383,0.9468989769617716
obj54,0.9714624881744385,0.5523281,0.1495196395036247
obj100,0.6734177470207214,0.6905569,0.6815085746347904
obj50,0.34634384512901306,0.41264462,1.8888076328568988
obj70,0.6771329641342163,0.13548334,0.8586322971516185
obj45,0.48192256689071655,0.6334044,1.047154871543891
obj23,0.44555526971817017,0.4411952,1.3942765949500933
obj98,0.8372466564178467,0.64319956,0.6846491622814533
obj11,0.5090240836143494,0.32988542,1.3396238692932658
obj83,0.9905921220779419,0.28794706,0.0679010312564464
obj99,0.9853994846343994,0.5560353,0.10842076388912068
obj31,0.8670422434806824,0.5664274,0.5100854077738606
obj76,0.8051698803901672,0.4099873,0.5657210480421782
obj3,0.7277586460113525,0.41096678,1.0948117785155773
obj4,0.8896749019622803,0.22164929,0.37963449970508617
obj53,0.9918010234832764,0.2628103,0.07532365568396118
obj81,0.9899150133132935,0.23767287,0.06350284962294002
obj77,0.6688880920410156,0.20821998,0.6533575840294361
obj61,0.9453100562095642,0.4543966,0.31860367705424625
obj41,0.5657942295074463,0.2672041,0.6756100344161192
obj25,0.9851710200309753,0.11142515,0.10047871872989668
obj15,0.4809689521789551,0.48323718,1.2800791445705626
obj85,0.6094539165496826,0.3554076,1.1838788025909
obj18,0.547959566116333,0.45631605,1.147355044933243
obj80,0.6738066077232361,0.43809995,1.0501232358316581
obj56,0.943486213684082,0.17322712,0.299637477637993
obj2,0.8580131530761719,0.29045385,0.7154532002492083
obj87,0.7533716559410095,0.6059979,0.758835289850443
obj47,0.9899080991744995,0.11955934,0.07268210497891738
obj44,0.9732322692871094,0.33555436,0.1475604142372807
obj43,0.9905362725257874,0.3554618,0.06269746670861626
obj13,0.6662698984146118,0.631117,0.9955972044004334
obj84,0.35572752356529236,0.6733725,1.4349801529250625
obj27,0.39201217889785767,0.4632628,1.293128232161204
obj30,0.985235869884491,0.14717515,0.09955894481390715
obj49,0.9810312986373901,0.3286345,0.11470165091062275
obj94,0.9902679920196533,0.19801244,0.07449947059568432
obj14,0.909073531627655,0.45993257,0.2957932106219232
obj91,0.7280925512313843,0.4380096,0.9980458331604799
obj79,0.7796509861946106,0.58195555,0.3201511915669673
obj29,0.8861160278320312,0.5701666,0.49728303943346774
obj65,0.32592999935150146,0.77584004,1.7037313646740384
obj95,0.6029766201972961,0.11725004,1.021772763795323
obj10,0.9916150569915771,0.36384803,0.062479948081697025
obj92,0.9365828037261963,0.36952466,0.3228089778373639
obj46,0.8939002156257629,0.3352904,0.3470107325249248
obj57,0.9596459269523621,0.35315928,0.1814537285309699
obj55,0.768403172492981,0.55772835,0.7384186484850943
obj73,0.7866433262825012,0.18549316,0.6941558815952804
obj38,0.908141016960144,0.48076394,0.3149382392164423
obj19,0.7668449878692627,0.54372096,0.7972076109015487
obj48,0.7179688215255737,0.3829959,0.587121644988656
obj16,0.7875983715057373,0.23730421,0.4081964536259572
obj89,0.5046700835227966,0.17691956,1.327631006638209
obj69,0.7212528586387634,0.43101203,0.7598608939184083
obj6,0.6359716057777405,0.40095162,0.8651077799085114
obj5,0.46099668741226196,0.63273644,0.9797551913393868
obj1,0.728480875492096,0.64948106,0.8555420032103283
obj52,0.7215704321861267,0.53010607,1.2375477443824314
obj60,0.7279593348503113,0.40710998,0.840211690713962
obj8,0.7656177878379822,0.5197957,0.610955137345526
obj7,0.9654676914215088,0.36696386,0.15133173899893235
obj58,0.9335538148880005,0.11932053,0.36969589731759495
obj36,0.6527498960494995,0.4472708,1.075271013710234
obj34,0.9246160984039307,0.34929428,0.4481458448701435
obj62,0.9923955202102661,0.3208979,0.054134652458338275
obj86,0.5648478865623474,0.1598109,0.7843083176347945
obj20,0.5589919090270996,0.50776815,1.594035694323894
obj32,0.9491873979568481,0.5766152,0.31576088205393815
obj64,0.7454415559768677,0.5138621,0.9226706884801388
obj24,0.8678007125854492,0.7693422,0.4152589862545331
obj37,0.9794813990592957,0.41685557,0.1145493636916702
obj12,0.43459975719451904,0.34997672,0.9111388886554374
obj71,0.5380834341049194,0.73152375,0.993302158649183
obj35,0.8559154868125916,0.09663638,0.7521985736158159
obj39,0.5387551784515381,0.73776615,1.280953718785895
obj82,0.9491717219352722,0.34465414,0.21573263686150312
obj63,0.4906657040119171,0.3463463,1.0092303181687992
obj93,0.6703397631645203,0.6029296,0.595612754720302
obj59,0.9964442849159241,0.32474977,0.028950760503196053
obj68,0.911956787109375,0.47088128,0.15015893566629124
obj40,0.36564308404922485,0.23565271,2.0499351206752987
obj97,0.7770218253135681,0.24845046,0.6462241123533912
obj72,0.8928881883621216,0.44533664,0.27967359501781175
cup_no_handle,0.8132197260856628,0.040470935,0.6932733497685857
charger,0.6543086767196655,0.51093185,1.0527253527608182
rubiks_cube,0.9991005659103394,0.25622943,0.00997811354075869
rubber_duck,0.9932865500450134,0.19233057,0.06245692819356918
battery,0.9959997534751892,0.36041567,0.03573139646646774
thermo_cup,0.8745726346969604,0.08487196,0.5024289848903815
light_bulb,0.7164613008499146,0.43212065,0.8916846836606661
cup_with_handle,0.43874359130859375,0.19748983,1.5079647857281897
combination_lock,0.4132843017578125,0.56093353,1.0770030915737152
wrist_watch,0.913558840751648,0.683741,0.3328438872057531
toy_car,0.9925278425216675,0.54595613,0.0603949269797239
lego_man,0.7395578026771545,0.5605154,1.2675047516822815
sun_glasses,0.7543416619300842,0.33812726,0.7342708590957854
faxe_kondi,0.9924399256706238,0.70884734,0.04207607231688194
lego_brick,0.9627476930618286,0.14846125,0.29928044850627583
controller,0.9069141745567322,0.25712213,0.3581549883302715
duct_tape,0.9973865151405334,0.2852136,0.024777041146686923
